Date,Day,Cases,Deaths,Recovered,Contagious
2020-02-26,1,1.0,0.0,0.0,1.0
2020-02-27,2,1.0,0.0,0.0,0.0
2020-02-28,3,1.0,0.0,0.0,0.0
2020-02-29,4,2.0,0.0,0.0,1.0
2020-03-01,5,2.0,0.0,0.0,0.0
2020-03-02,6,2.0,0.0,0.0,0.0
2020-03-03,7,2.0,0.0,0.0,0.0
2020-03-04,8,4.0,0.0,0.0,2.0
2020-03-05,9,4.0,0.0,0.0,0.0
2020-03-06,10,13.0,0.0,0.0,9.0
2020-03-07,11,13.0,0.0,0.0,0.0
2020-03-08,12,20.0,0.0,0.0,7.0
2020-03-09,13,25.0,0.0,0.0,5.0
2020-03-10,14,31.0,0.0,0.0,6.0
2020-03-11,15,38.0,0.0,0.0,7.0
2020-03-12,16,52.0,0.0,0.0,14.0
2020-03-13,17,151.0,0.0,0.0,99.0
2020-03-14,18,151.0,0.0,0.0,0.0
2020-03-15,19,162.0,0.0,0.0,11.0
2020-03-16,20,200.0,0.0,1.0,38.0
2020-03-17,21,321.0,1.0,2.0,121.0
2020-03-18,22,372.0,3.0,2.0,51.0
2020-03-19,23,621.0,6.0,2.0,249.0
2020-03-20,24,793.0,11.0,2.0,172.0
2020-03-21,25,1021.0,15.0,2.0,228.0
2020-03-22,26,1593.0,25.0,2.0,572.0
2020-03-23,27,,,,
2020-03-24,28,,,,
2020-03-25,29,,,,
2020-03-26,30,,,,
2020-03-27,31,,,,
2020-03-28,32,,,,
2020-03-29,33,,,,
2020-03-30,34,,,,
2020-03-31,35,,,,
2020-04-01,36,,,,
2020-04-02,37,,,,
2020-04-03,38,,,,
2020-04-04,39,,,,
2020-04-05,40,,,,
2020-04-06,41,,,,
2020-04-07,42,,,,
